Serial No.,Project Name,Name of the Firm,Keywords (up to 5),Project Summary (50 words),Project Location 1 (Country),Project Location 2 (City/ Village Name),Project Location 3 (actual address if you can find it),Website or Project Link,"Project Photo (write down the file name, e.g. name_of_the_project_01. Upload the photos to )"
12,Granby Winter Garden,ASSEMBLE,"Citizen Participation, Collaboration, Community Engagement, Revitalization","In collaboration with Granby Four Streets CLT, ASSEMBLE turned two derelict terraced houses into a new shared garden as part of the Granby Four Street revitalization plan. Freely accessible to all, it houses a communal indoor garden, a meeting and events space and accommodation for artist residencies.",United Kingdom,"Granby, Liverpool",37 & 39 Cairns Street,https://assemblestudio.co.uk/projects/granby-winter-gardens,
13,Bima Microlibrary,SHAU,"Social, Sustainability, Citizen Participation, Engagement, Education","Bima Mircrolibrary is one of the first Microlibraries built by SHAU an attempt to elevate the education level of the Indonesian population through multi-use microlibraries for social and eductation purpose. The project is a collaborative effort from 7 stakeholders: SHAU, Community, Funding partner, NGOs, Media, and most importantly, the Government. ",Indonesia,Bandung,"Jl. Bima No.103, Arjuna, Kec. Cicendo",https://www.miclib.com/microlibrarybima,
14,WMS Boathouse,Studio Gang,"Community Engagement, Revitalization","As the City of Chicago works to transform the long-polluted and neglected Chicago River into its next recreational frontier, Studio Gang’s WMS Boathouse at Clark Park helps catalyze necessary momentum. By creating a key public access point along the river’s edge, it supports the larger movement toward an ecological and recreational revival of the Chicago River.",USA,"Chicago, Illinois","3400 N Rockwell St, Chicago, IL 60618, United States",https://studiogang.com/project/wms-boathouse-at-clark-park,
15,St Josephs' Nursing Home,SAA Architects,"Community, Elderly, Accessibility,","St. Joseph’s Home is a nursing home for the aged in a densely populated residential district in the West of Singapore. After the renovation of the nursing home, the amenities were greatly improved, with an increment from 139 beds to 412 beds. The revamped facilities also include an improved landscape design that encourages interactivity and improves the quality of living in the nursing home.",Singapore,Singapore,"36 Jurong West Street 24, Singapore 648141",http://saaarchitects.com.sg/project/catholic-welfare-services-singapore-st-josephs-home/,
16,Angdong Healthcare Center,Rural Urabn Framework,"Local context, Community, Healthcare, Local Materials, Rural Revitalization","Commissioned by the Institute for Integrated Rural Development, rural urban framework designed a charitable hospital in Angdong village to provide basic caregiving for 21 villages nearby and support progressive rural healthcare reform in the future. This model rural healthcare building has an enclosed courtyard space encircled by an accessible ramp. It redefined institutions like hospital as public friendly buildings in rural China.",China,"Angdong village, Hunan ","XIANGXI, CHINA",http://www.rufwork.org/index.php?/project/angdong-health-centre-10/,
17,Kampung Kampus,Ground Up Initiative,"Comunity Engagement, Urban Sustainability, Collaboration","Ground-Up Initiative (GUI) is a non-profit community, guided by the spirit of innovation, resilience and grounded leadership to demonstrate urban sustainability. With the power of community, GUI is building Kampung Kampus, a low-carbon footprint community campus, sited on a 2.6 hectares land plot in Yishun, Singapore. Kampung Kampus aims to be a role model in sustainable living and a School of Life; nurturing an eco-conscious community with the mind, the hands and the heart to be stewards of a more sustainable and happier future.",Singapore,Yishun,91 Lorong Chencharu (Yishun) Singapore 769201,https://groundupinitiative.org,
18,METI Handmade School,Studio Anna Heringer,"Constuction Education, Project Realisation by Local Community, Local Materials, Sustainability, Collective Ownership","METI Handmade School is commissioned by a non-government organization called the Modern Education and Training Institute and is a learning institution built for training children to be ready for creative trade-based industries. In Bangladesh, where the project is based, the local knowledge on building materials such as Earth and Bamboo was limited and had not been successfully implemented as a material in the local projects. Anna made use of this opportunity to introduce experts in the architecture industry to educate the local tradesmen and community on and improved traditional building methods using these local materials.",Bangladesh,"Rudrapur, Dinajpur district","Dinajpur - Birol Rd, বিরল, Bangladesh",http://www.anna-heringer.com/projects/meti-school-bangladesh/,
19,Diamond Island Community Hall,VTN Architects,"Sustainability, Local Community, Public Space / Programs","Diamond Island Community Hall is a public space design located on a small island (Diamond Island) in the peninsula of Saigon River. It is a sustainable design (constructed with bamboo) that aims to integrate local / traditional and modern architecture, to create a multi purpose outdoor space for both locals and tourists to use.",Vietnam,"District 2, Ho Chi Minh City","District 2, Ho Chi Minh City, Vietnam",http://votrongnghia.com/projects/diamond-island-community-hall/,
20,Quinta Monroy,Elemental,"Public housing, local community, construction",,Chile,"Iquique, Tarapacá","Sold Pedro Prado 2139, Iquique, Tarapacá, Chile",,
21,powerHYDE,BillionBricks,"Community, Rural Revitalization, Social, Quality Design, Innovative",,India,"Kocnhur, Karnataka","Konchur Karnataka, India",,
22,Books and Cubes,IX Architects,"Citizen Participation, Rural Revitalization, Library",,Cambodia,"Siem Reap, Cambodia","Siem Reap, Cambodia",,
